scenario_id,selected,track_id,type,direction,scenario_type,constraint_agents,start_time,end_time
1,s,29,Pedestrian,,placeholder,,21.688333,41.875167
2,s,59,Pedestrian,,placeholder,83;96;107,51.885167,123.6235
3,s,83,Pedestrian,,placeholder,59;96;107,86.5865,153.486667
4,s,96,Pedestrian,,placeholder,59;83;107;152;159;160;200;201;202,98.5985,227.393833
5,s,107,Pedestrian,,placeholder,59;83;96;152;159;160;200;201;202,109.275833,244.911333
6,s,152,Pedestrian,,placeholder,96;107;159;160;200;201;202,158.158,224.057167
7,s,159,Pedestrian,,placeholder,96;107;152;160;200;201;202;243,165.498667,260.26
8,s,160,Pedestrian,,placeholder,96;107;152;159;200;201;202,165.999167,247.413833
9,s,200,Pedestrian,,placeholder,96;107;152;159;160;201;202;243;254;255;259,212.7125,290.7905
10,s,201,Pedestrian,,placeholder,96;107;152;159;160;200;202;243;254;255,215.882333,286.619667
11,s,202,Pedestrian,,placeholder,96;107;152;159;160;200;201;243;254;255,215.882333,286.286
12,s,243,Pedestrian,,placeholder,159;200;201;202;254;255;259,248.248,290.7905
13,s,254,Pedestrian,,placeholder,200;201;202;243;255;259,275.108167,290.7905
14,s,255,Pedestrian,,placeholder,200;201;202;243;254;259,275.108167,290.7905
15,s,259,Pedestrian,,placeholder,200;243;254;255,289.289,290.7905
