scenario_id,selected,track_id,type,direction,scenario_type,constraint_agents,start_time,end_time
1,x,28,Pedestrian,,-,29;30;37,0,13.179833
2,s,29,Pedestrian,,3_crosswalks,28;30;37;43;49;60;88;150,0,113.446667
3,s,30,Pedestrian,,1_crosswalk,28;29;37;43;49;60,0,57.5575
4,s,37,Pedestrian,,1_crosswalk,28;29;30;43;49;60;88,7.173833,68.902167
5,x,43,Pedestrian,,-,29;30;37;49,16.016,29.863167
6,s,49,Pedestrian,,3_crosswalks,29;30;37;43;60;88;150;160,25.5255,160.493667
7,s,60,Pedestrian,,1_crosswalk,29;30;37;49;88;150;160,35.702333,159.492667
8,s,88,Pedestrian,,2_crosswalks,29;37;49;60;150;160,145,179.512667
9,s,150,Pedestrian,,2_crosswalks,29;49;60;88;160,113.446667,185.852333
10,s,160,Pedestrian,,2_crosswalks,49;60;88;150;217;244,129.6295,204
11,x,217,Pedestrian,,-,160,198.531667,225.558667
12,s,244,Pedestrian,,2_crosswalks,160,236.7365,281.447833
