scenario_id,selected,track_id,type,direction,scenario_type,constraint_agents,start_time,end_time
1,s,16,Pedestrian,,group_no_interaction_crosswalk;vehicle_turns_right_in_front_of_crossing_pedestrian_not_over_halfway,17;19;21,0,54
2,s,16,Pedestrian,,group_no_interaction_crosswalk;major_cut_exit_corner,17;19;21,54,82
3,s,16,Pedestrian,,group_no_interaction_walkway,17;19;21,82,88.755333
4,s,17,Pedestrian,,group_no_interaction_crosswalk;vehicle_turns_right_in_front_of_crossing_pedestrian_not_over_halfway,16;19;21,0,54
5,s,17,Pedestrian,,group_no_interaction_crosswalk;major_cut_exit_corner,16;19;21,54,82
6,s,17,Pedestrian,,group_no_interaction_walkway,16;19;21,82,87.420667
7,s,19,Pedestrian,,single_no_interaction_walkway,16;17;21,0,4.337667
8,s,21,Pedestrian,,group_no_interaction_crosswalk;vehicle_turns_right_in_front_of_crossing_pedestrian_not_over_halfway,16;17;19;101,0,54
9,s,21,Pedestrian,,group_no_interaction_crosswalk;major_cut_exit_corner,16;17;19;101,54,82
10,s,21,Pedestrian,,group_no_interaction_walkway,16;17;19;101,82,89.756333
11,s,101,Pedestrian,,single_no_interaction_walkway,21;116;123,89.255833,98
12,s,101,Pedestrian,,single_no_interaction_crosswalk,21;116;123,98,117
13,s,101,Pedestrian,,single_no_interaction_crosswalk,21;116;123,117,124
14,s,101,Pedestrian,,single_no_interaction_walkway,21;116;123,124,125.6255
15,s,116,Pedestrian,,single_no_interaction_walkway,101;123;166;195;203;204,103.6035,142
16,s,116,Pedestrian,,single_no_interaction_crosswalk;cross_in_front_of_yielding_right-turning_vehicle_on_signalized_crosswalk,101;123;166;195;203;204,142,180
17,s,116,Pedestrian,,single_no_interaction_walkway,101;123;166;195;203;204,180,210.376833
18,s,123,Pedestrian,,single_no_interaction_walkway,101;116;166;195;203;204,107.941167,142
19,s,123,Pedestrian,,single_overtakes_single_crosswalk;cross_in_front_of_yielding_right-turning_vehicle_on_signalized_crosswalk;overtake_on_left,101;116;166;195;203;204,142,180
20,s,123,Pedestrian,,single_no_interaction_walkway,101;116;166;195;203;204,180,205.371833
21,x,166,Pedestrian,,-,116;123,142.976167,164.6645
22,s,195,Pedestrian,,single_no_interaction_crosswalk;cross_in_front_of_yielding_left-turning_vehicle,116;123;203;204;237;241;248,189.6895,231
23,s,195,Pedestrian,,single_no_interaction_crosswalk,116;123;203;204;237;241;248,231,257.924333
24,s,203,Pedestrian,,group_no_interaction_walkway,116;123;195;204;237;241;248,196.362833,224
25,s,203,Pedestrian,,group_no_interaction_crosswalk;minor_cut_entrance_corner,116;123;195;204;237;241;248,224,248
26,s,203,Pedestrian,,group_no_interaction_crosswalk,116;123;195;204;237;241;248,248,257.924333
27,s,204,Pedestrian,,group_no_interaction_walkway,116;123;195;203;237;241;248,196.362833,224
28,s,204,Pedestrian,,group_no_interaction_crosswalk,116;123;195;203;237;241;248,224,248
29,s,204,Pedestrian,,group_no_interaction_crosswalk,116;123;195;203;237;241;248,248,257.924333
30,s,237,Pedestrian,,single_no_interaction_walkway,195;203;204;241;248,227.894333,257.924333
31,s,241,Pedestrian,,single_no_interaction_walkway,195;203;204;237;248,235.568667,252
32,s,241,Pedestrian,,single_no_interaction_crosswalk;jaywalk_beside_crosswalk,195;203;204;237;248,252,257.924333
33,s,248,Pedestrian,,single_no_interaction_walkway,195;203;204;237;241,249.249,257.924333
