scenario_id,selected,track_id,type,direction,scenario_type,constraint_agents,start_time,end_time
1,s,25,Pedestrian,,placeholder,,0,3.003
2,s,75,Pedestrian,,placeholder,81;118,59.059,76
3,s,75,Pedestrian,,placeholder,81;118,76,99
4,s,75,Pedestrian,,placeholder,81;118,99,120.453667
5,s,81,Pedestrian,,placeholder,75;118;152;161;185,62.395667,100
6,s,81,Pedestrian,,placeholder,75;118;152;161;185,100,144
7,s,81,Pedestrian,,placeholder,75;118;152;161;185,144,183.349833
8,s,118,Pedestrian,,placeholder,75;81,93.5935,108.6085
9,s,152,Pedestrian,,placeholder,81;161;185,133.967167,200.533667
10,s,161,Pedestrian,,placeholder,81;152;185,138.471667,146
11,s,161,Pedestrian,,placeholder,81;152;185,146,160
12,s,161,Pedestrian,,placeholder,81;152;185,160,189
13,s,161,Pedestrian,,placeholder,81;152;185,189,199.199
14,s,185,Pedestrian,,placeholder,81;152;161,168.835333,194
15,s,185,Pedestrian,,placeholder,81;152;161,194,200.533667
